Category,Business,Owner/person,What & where,Status,Story angle,Social/Web,Press footprint,Tier
Retail & Boutique,Mystic Nook,(owner unconfirmed),Crystals / metaphysical · 6226 Ringgold Rd,Open,'Chattanooga's newest metaphysical shop' — enchanting-nook vibe.,IG @mystic_nook_metaphysical_,Low,2
Retail & Boutique,Lookout Thrift,(owner unconfirmed),"Community thrift · 2441 Broad St, Southside",Open,Mission-driven thrift with treasure-hunt appeal; free pickup.,lookoutthrift.com,Low,2
Retail & Boutique,Monkee's of Chattanooga,Autumn & Kevin Burke,"Women's boutique · Read House, 842 Chestnut St (NOT Ooltewah)",Open,Local couple bring the boutique into the historic Read House. (Franchise; corrected address.),IG @monkeesofchattanooga,Some,2
Makers & Artisans,The Doll For All,Marsha Roberts,Posable dolls with limb differences for kids with disabilities · Chattanooga,Open,"Born from 'Aysha,' who post-surgery saw no dolls like disabled kids; the only US-made 18"" vinyl doll. Lead feature.",thedollforall.com,Some,1
Makers & Artisans,Grateful Glassworks,Blake Rolfe,"Glassblowing studio + gallery, classes/demos · 1518 Central Ave",Open,A 10+-year glassblower's 'come watch / try it' studio — live-fire visual story; hit year one in 2025.,gratefulglassworks.com,Some,1
Makers & Artisans,Lazy Lights Stained Glass,Zoë Newell,Handmade stained glass · Chattanooga,Open,Lifelong local rediscovered her late mom's glass tools and taught herself.,lazylightstainedglass.com,Low,1
Makers & Artisans,Jay Ban Works,Rev. Jay Banasiak,"Woodworking + laser/CNC, Chattanooga-themed pieces · pop-ups/Etsy",Open,Presbyterian pastor/musician building from antique black walnut inherited from his grandmother; also makes cajón drums.,Etsy JayBanWorks,Low,1
Makers & Artisans,Chattanooga Milk Stones,'Brooklyn',Breastmilk / cremation / floral keepsake jewelry · Birchwood,Open,Struggled to breastfeed daughter Zelphia; now hand-grinds milk into keepsake stones — a craft most have never heard of.,chattanoogamilkstones.com,Low,1
Makers & Artisans,Walker Built,Preston Walker,Custom cabinetry / case goods · Chattanooga,Open (2025 start),Craftsman who moved to Chattanooga in 2023 and launched in 2025 to build 'more than cabinets — community.',Squarespace site,Low,1
Makers & Artisans,Elevated Leather,(owner unconfirmed),"Cobbler — shine, patina, custom shoes · Chattanooga",Open,A rare bespoke-leaning cobbler/patina artist in town.,Yelp,Low,1
Makers & Artisans,On The Rocks Pottery,(owner unconfirmed),Handmade nature-inspired ceramics · Chattanooga,Open,"Functional, nature-inspired ware (hook needs an interview).",linktr.ee/OnTheRocksPottery,Low,2
Makers & Artisans,Hearth & Oak Candle Co.,(owner unconfirmed),Hand-poured candles (coconut-apricot wax) · Hamilton Co.,Open,New 2025 candle maker with a scent-consultation angle.,hearthandoakcandleco.com,Low,2
Makers & Artisans,Goth Moth Rebellion Studios,Veteran-owned,Handmade gothic/alt jewelry · markets,Open,Veteran-owned dark-aesthetic maker with a rebellious brand voice.,bigcartel,Low,2
Makers & Artisans,Gift Horse Leather Goods,William Cox,Hand-crafted leather goods · home-based,Open,New 2025 leather maker; 'don't look a gift horse…' brand hook. (Home-based — no address published.),none found,None,2
Makers & Artisans,Rags2Dazzle Ragdolls,'Alan' / family,Show-Ragdoll cattery · Hixson (home-based),Open,Cats raised loose in the home alongside the family dog — quirky niche; TICA/CFA registered.,rags2dazzleragdolls.com,Low,2
"Experiences, Outdoor & Quirky",Pelfrey Drum Works,Jerry 'Punkin' Pelfrey,"Hand-built stave snare drums, made to order · Hixson",Open,Decades-deep craftsman (since the '90s as 'Punkinater') now builds one-at-a-time heirloom snares sold worldwide.,pelfreydrumworks.com,Low,1
"Experiences, Outdoor & Quirky",REconnect Nature School,Jaime Peterson & Rebecca Westbrook Toker,"Nature-based STEAM middle school · ~5 acres, East Ridge edge",Open,Two veteran educators built a forest school for middle-schoolers and neurodivergent kids who 'age out' of elementary programs. (Nonprofit.),reconnectnatureschool.org,Low,1
"Experiences, Outdoor & Quirky",The Matcha Spot,Ester Gao,Matcha bar · 730 Germantown Cir (Concordance Ferments),Open / expanding,A pop-up that 'graduated' to a creekside lease in 2025 — rare specialty-matcha concept; TFP-covered.,thematchaspot.net,Some,1
"Experiences, Outdoor & Quirky",Tennessee River Adventures,Capt. Aaron Massey,Trophy-catfish guide service · Tennessee River,Open,USCG-licensed 'Bassmassey' chasing river giants from a Sea Ark — quintessential local outdoor story.,tennesseeriveradventures.net,Low,1
"Experiences, Outdoor & Quirky",Exit 4 Escape Rooms,(owner unconfirmed),4 themed escape rooms · 1919 Gunbarrel Rd,Open,"Locally owned, objective-based rooms ('never actually locks you in') — sunken ship, haunted hotel, wand-maker.",exit4escape.com,Low,1
"Experiences, Outdoor & Quirky",Signal Swirl,Local families,"Self-serve frozen yogurt · 1231 Taft Hwy, Signal Mtn",Open,Brand-new mountain treat spot; stays open till midnight on home-football nights — hyperlocal charm.,FB / IG,Low,2
"Experiences, Outdoor & Quirky",Backroad Cheesesteaks,(owner unconfirmed),Cheesesteak food truck · Rossville GA + downtown,Open,Roadside-identity truck building a following across the GA/TN line.,FB / StreetFoodFinder,Low,2
"Experiences, Outdoor & Quirky",Chattanooga Rydables,Local franchise operator,Guided electric stuffed-animal scooter tours · 707 Cherry St,Open,Whimsical unicorn/dragon 'rydable' tours past the Aquarium and riverfront; ghost & holiday-lights variants.,rydables.com,Low,2
"Experiences, Outdoor & Quirky",Quirky Bird Tattoo,(owner unconfirmed),Tattoo studio · 1435 Market St,Open,Character-rich indie studio with a memorable brand in a crowded scene.,quirkybirdtattoo.com,Low,2
"Experiences, Outdoor & Quirky",Nova Theatre for Young People,(owner unconfirmed),Independent children's theatre · Chattanooga,Likely open,A new indie kids' theatre carving space alongside the big youth program — a hard-to-find community arts gem.,FB,None,2
"Experiences, Outdoor & Quirky",Jackpot Junction,Veteran-owned,Gaming/arcade lounge (18+) · 5063 Hixson Pike,Open,Veteran-owned gaming lounge with military-appreciation discounts. (NOT the Minnesota casino.),FB / IG,Low,2
"Experiences, Outdoor & Quirky",Skull Island Campground,Operator,Island campground + camp store · Harrison (Chickamauga Lake),Open,Camp on its own island with rotating camp hosts — a classic lake-overnight gem.,VisitChattanooga,Low,2
