Tier,Business,Owner,What & where,Status,Story angle,Social/Web,Press footprint
1 - Feature now,Offbeat Eats,Amanda Ertley,"Microbakery (sourdough) · home-based, sells at markets",Open,"Husband-and-wife cottage bakery; chef-driven, stone-milled organic flour, baguette preorders at the Ooltewah/St. Albans/Farmers-on-First markets.",@offbeat.eats,Low
1 - Feature now,Good News Roasters,Kent & Lisa Smith,"Coffee roaster + shop + mobile · 9710 Dayton Pike, Soddy Daisy",Open (est. 2021),"Mission-driven micro-roaster; profits support the poor, homeless, widowed, orphaned. Signature drinks 'Amazing Grace,' 'Raise a Hallelujah.'",goodnewsroasters.com,Low
1 - Feature now,Loma's Ja-Maken Mi Kraaven,Loma Fisher Swaby,Jamaican meal-prep / pop-ups · Kitchen Incubator (5704 Marlin Rd),Open,A Jamaican home cook building a brand out of the food incubator; punny patois name ('Jamaican me cravin'').,none found,Low
1 - Feature now,Shucos Bites and Tacos,Brenda Ramos,Guatemalan shucos (street hot dogs) + tacos · 951 S Watkins St + mobile,Open,"One of the only Guatemalan shuco spots in town — distinctive cuisine, family-run, strong Spanish-language following.",FB Shucos Bites And Chattanooga,Low
1 - Feature now,The Southern Sazon Sizzle,Elaina Laureano,Puerto Rican food truck · Hixson/Middle Valley,Open,A home-grown Puerto Rican truck bringing sazón and lechón to Hixson (scored 100 on its health inspection).,none found,Low
2 - Watch/verify,Signal Mountain Cookie Lady,Heather Allison (license),"Cookie/cake shop · 1217 Taft Hwy, Signal Mtn",Open — ownership change?,The famous shop was Sandie Benson's for ~13 yrs; the license now lists Heather Allison — a likely new-owner story. Confirm before writing.,signalmountaincookielady.com,Some
2 - Watch/verify,Conga (Latin Food),Jimmy Obando (license),Latin American / pupusas · 26 E Main St,Open — ownership change?,Established family spot ('the woman who brought pupusas to Chattanooga'); new license may signal a handoff — confirm.,congalatinfood.com,Some
2 - Watch/verify,Riverside Beverage,David Powers,"THC/hemp beverages (NOT a beer brewery) · old Hutton & Smith bldg, 3108 Riverside Dr",Open (2025),"Old brewery building reborn for the THC-drink boom — and squarely in the path of TN's July 1, 2026 hemp ban. Frame with care.",nationbeer.com,Low
2 - Watch/verify,Raccoon Mountain Caverns,Chase Becker (Open Road Resorts),Cavern attraction + campground (new owner) · 319 W Hills Dr,Open (acquired 2026),New stewardship of a classic 5.5-mile cave system — Open Road Resorts' Tennessee debut.,raccoonmountain.com,Some
2 - Watch/verify,The Chattery,Jennifer Holder,Nonprofit community classroom + art-supply thrift · 1800 Rossville Ave,Open (reopened Jan 2026),"Beloved nonprofit returned to its Rossville Ave home after a 2024 fire — comeback story (it's a nonprofit, not a typical thrift).",thechattery.org,Some
2 - Watch/verify,Ace Pickleball Club,Jacobson (license: George; press: Don III),"Indoor pickleball (46k sq ft) · 5450 Hwy 153, Hixson",Coming (2026),Local 4th-generation manufacturer brings a national franchise to a former Stockdale's. Verify the owner's first name before printing.,acepickleballclub.com,Some
2 - Watch/verify,Wander Craft Co.,Jonathan Mellas (verify),Maker — custom camper-van builds · Soddy Daisy,Active,Hands-on van-life builder converting vans (and vintage coffee trailers) into homes.,wandercraftcompany.com,Low
2 - Watch/verify,Signal Modern Studio,Travis Randolph (verify),Maker — custom modern furniture · Signal Mtn,Active,A mountain-town woodworker doing modern design.,@signalmodernstudio,Low
2 - Watch/verify,Lookout Bricks,Samuel Mindeman,Maker — toy building blocks · Lookout Mtn (home),Coming/likely,"Custom building-brick maker; IG exists, content unconfirmed.",@lookout_bricks,Low
2 - Watch/verify,Frog & Fern,Reagan Carson,"Maker — 3D-printed sensory/fidget toys · markets/pop-ups, NorthShore",Open,Whimsical 'enchanted forest' 3D-printed toys; pickup at Ship Happens.,frogandfern.com,Low
2 - Watch/verify,Tressa's Baking Company,Tressa Scott,Cottage bakery — custom cookies · Ooltewah (home),Likely open,Custom-designed cookies with online ordering (Bakesy). Confirm identity (possible Ringgold rebrand).,tressasbakingcompany.com,Low
2 - Watch/verify,Delhi Cafe,Robin Benjamin (license),Indian restaurant · 6940 Lee Hwy,Open,"Taking another swing at an 'Indian-restaurant graveyard' suite (Dosa Hut, Taj India both closed here) — a resilience angle.",none found,Low
2 - Watch/verify,One Corner Bakery,Shan Sun,Coffee & bakery · 417 Georgia Ave (downtown),Coming,Brand-new downtown coffee+bakery at a real storefront; no presence yet.,none found,None
2 - Watch/verify,Chattanoodle,Brianne Larkins,Maker — fresh pasta · Signal Mtn (home),Can't confirm,Appealing fresh-pasta concept; no business footprint yet — reach out.,none found,None
2 - Watch/verify,Pan Y Mojo,Yanet Sosa Perez,"Cuban restaurant · 5214 Dayton Blvd, Red Bank",Coming,A new Cuban spot at a real commercial address — adds to CHA's small Cuban scene.,none found,None
2 - Watch/verify,Chattbout Jerk,Antole Thelwell,Jamaican catering · Ooltewah,Can't confirm,Clever name ('chat 'bout jerk'); no footprint — confirm before featuring.,none found,None
2 - Watch/verify,Athara Grill,Muhammed Abazid,Food truck (cuisine unconfirmed) · Ooltewah,Can't confirm,Possible Middle Eastern/Syrian truck — verify the cuisine directly; don't assert.,none found,None
What's coming,Hattie B's Hot Chicken,,"205 Manufacturers Rd (Signal Mill, NorthShore)",Arrival,Nashville hot-chicken arrival; license issued June 2026 (moved from 'exploring' to real).,,
What's coming,Southern Steer Butcher,,20 Cherokee Blvd (NorthShore),Arrival,National craft-butcher franchise. NOTE: the listed 'Kevin Gillespie' is almost certainly NOT the Atlanta celebrity chef — common name.,,
What's coming,Bean Sprouts,,321 Chestnut St,Arrival,National kids/family café concept downtown.,,
What's coming,Seven Brew / Scooter's Coffee / Dunkin / Starbucks NorthShore,,various,Arrival,"Drive-thru/chain coffee build-out across the metro (context, not features).",,
What's coming,"Hotels: Caption by Hyatt, Sonesta Select, Moxy, Home2/Tru",,downtown / Hamilton Place / Lookout,Arrival,"Continued hotel growth — useful 'what's changing' context, not member features.",,
What's coming,The Landing Social House (Common House),,1517 Mitchell Ave (former 1929 YMCA),Arrival,"Established members' club, not a new independent — skip unless covering the rooftop.",,
